company,name,year,TA,size,liquid_ratio,Operating_Expense_Ratio,Cash_Flow_Ratio,GDP,PAC,underwriting_revenue,brokerage_revenue,netprofit_growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000888,國泰證券,2007,5317510,15,351.14,92.74,74.18,6.85,0,23728,342310,26.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000930,華南永昌證券,2007,26026405,17,152.2,55.23,13.1,6.85,0,44892,2555520,21.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0009A0,永豐金證券,2007,64463559,18,147.58,46.87,17.31,,0,264556,4587086,102.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000885,鑫豐證券,2007,234094,12,971.71,106.43,130.64,,1,51,42826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000779,國票證券,2007,21736995,17,171.49,61.49,7.56,6.85,0,4721,1665246,115.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2856,元富證券,2007,62098953,18,138.58,67.95,2.62,6.85,0,64332,3438690,34.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000102,合作金庫證券,2007,,,,,,6.85,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000025,基富通證券,2007,,,,,,6.85,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2854,寶來證券,2007,105333265,18,136.64,62.5,8.77,0.8,7,106841,6622489,115.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6024,群益期貨,2007,8854749,16,111.83,41.46,4.2,0.8,0,0,638570,45.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026000,富邦期貨,2007,5995939,16,120.51,38.91,0.81,0.8,0,0,288238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31872,元大期貨,2007,9013359,16,132.77,39.62,1.67,0.8,0,0,890120,42.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5869,元富期貨,2007,5609205,16,117.01,32.53,1.04,0.8,0,0,435477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000980,元大證券,2008,97393401,18,170.95,72.93,32.26,0.8,0,228613,7209440,38.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6008,凱基證券,2008,115579571,19,138.51,83.45,30.56,0.8,0,119175,5291900,67.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6016,康和證券,2008,15628304,17,159.88,100.71,81.37,0.8,0,260,1325960,154.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000960,富邦證券,2008,50706166,18,251.95,74.93,130.3,0.8,0,105508,3577152,69.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
